<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;60;20221003;100000;219.0000000;220.5500000;213.6300000;215.0800000;16234110
GAZP;60;20221003;110000;215.0800000;216.7800000;214.9600000;216.3600000;4117860
GAZP;60;20221003;120000;216.3400000;216.4300000;215.4300000;215.8800000;2370840
GAZP;60;20221003;130000;215.8500000;217.7700000;215.5300000;217.1000000;5735090
GAZP;60;20221003;140000;217.1200000;217.4900000;216.5000000;216.9400000;3646090
GAZP;60;20221003;150000;216.9400000;217.2500000;216.0000000;216.5400000;3374950
GAZP;60;20221003;160000;216.5600000;216.6800000;215.8100000;215.9100000;3334480
GAZP;60;20221003;170000;215.9100000;215.9800000;214.5000000;215.3000000;5569930
GAZP;60;20221003;180000;215.3000000;215.3000000;214.8700000;215.1300000;1925180
GAZP;60;20221003;190000;215.5000000;215.7900000;214.8500000;215.2500000;844230
GAZP;60;20221003;200000;215.2200000;215.5000000;214.9000000;215.3500000;1039000
GAZP;60;20221003;210000;215.3500000;216.9200000;215.0300000;216.5000000;1445070
GAZP;60;20221003;220000;216.5100000;216.5800000;215.8400000;216.2800000;469840
GAZP;60;20221003;230000;216.2800000;216.3300000;215.6500000;215.8300000;460640
GAZP;60;20221004;100000;216.4900000;216.7000000;210.5600000;210.8500000;13275630
GAZP;60;20221004;110000;210.8600000;212.0000000;209.6100000;211.7900000;10745330
GAZP;60;20221004;120000;211.7700000;211.9900000;208.8000000;210.4000000;7525550
GAZP;60;20221004;130000;210.4900000;211.2700000;209.8100000;211.0400000;2828080
GAZP;60;20221004;140000;211.0400000;212.7600000;210.2000000;212.5900000;3604650
GAZP;60;20221004;150000;212.5900000;213.1900000;209.3000000;211.3300000;3657200
GAZP;60;20221004;160000;211.3000000;211.5800000;210.0000000;210.5000000;1835720
GAZP;60;20221004;170000;210.5000000;211.4000000;210.0000000;211.1900000;2397070
GAZP;60;20221004;180000;211.1900000;211.9900000;211.1200000;211.3000000;1262590
GAZP;60;20221004;190000;211.6400000;212.2000000;211.2500000;211.8000000;685750
GAZP;60;20221004;200000;211.8100000;211.8900000;211.2700000;211.3700000;409050
GAZP;60;20221004;210000;211.3600000;211.6700000;211.0200000;211.3900000;388050
GAZP;60;20221004;220000;211.3900000;211.4700000;210.4500000;210.5000000;604460
GAZP;60;20221004;230000;210.5000000;210.9900000;210.3500000;210.7200000;498830
GAZP;60;20221005;100000;211.4600000;211.4900000;208.2000000;208.5700000;7826340
GAZP;60;20221005;110000;208.5700000;208.9000000;202.8500000;204.2300000;15643050
GAZP;60;20221005;120000;204.2300000;206.5000000;204.1900000;204.7600000;5472560
GAZP;60;20221005;130000;204.7600000;207.2600000;204.4300000;206.2000000;5817330
GAZP;60;20221005;140000;206.2000000;206.6700000;205.2500000;205.7400000;1901280
GAZP;60;20221005;150000;205.7400000;206.9900000;205.5000000;206.8300000;1811220
GAZP;60;20221005;160000;206.7800000;209.8000000;206.7500000;208.4000000;5030780
GAZP;60;20221005;170000;208.4000000;208.9600000;207.3100000;207.8700000;2453660
GAZP;60;20221005;180000;207.8800000;208.5000000;207.2800000;208.5000000;1384230
GAZP;60;20221005;190000;208.9700000;211.0000000;208.6000000;210.2600000;3012970
